日期,开盘,最高,最低,收盘,涨跌额,成交量,成交金额
2023-03-20,235.0,235.0,227.4,231.0,-4.72,66038.0,152340.58
2023-03-21,232.0,242.2,230.9,240.55,9.55,95354.0,226593.44
2023-03-22,240.05,246.9,240.05,241.89,1.34,65788.0,160452.08
2023-03-23,241.88,249.5,240.55,244.04,2.15,67412.0,165482.11
2023-03-24,243.0,249.49,242.0,245.65,1.61,54201.0,133368.11
2023-03-27,246.45,246.45,236.61,242.19,-3.46,56617.0,136923.97
2023-03-28,242.0,250.55,242.0,248.73,6.54,63809.0,158181.22
2023-03-29,252.0,255.15,249.8,253.58,4.85,69449.0,175889.23
2023-03-30,253.58,259.97,251.3,256.54,2.96,65691.0,167991.09
2023-03-31,256.54,260.8,253.5,254.79,-1.75,54451.0,139740.97
2023-04-03,255.2,258.83,253.59,254.29,-0.5,55834.0,142830.12
2023-04-04,253.55,259.66,251.61,259.23,4.94,68333.0,175192.53
2023-04-06,258.0,259.0,248.1,250.04,-9.19,63921.0,161193.38
2023-04-07,248.0,253.72,245.8,249.0,-1.04,51034.0,127506.05
2023-04-10,246.02,248.32,229.31,247.5,-1.5,125359.0,300117.16
2023-04-11,245.0,245.49,237.8,238.99,-8.51,91882.0,220287.75
2023-04-12,239.0,239.36,232.26,233.19,-5.8,81774.0,191658.67
2023-04-13,232.8,235.77,230.08,234.3,1.11,64886.0,151311.36
2023-04-14,234.28,235.77,228.88,229.55,-4.75,62649.0,144832.53
2023-04-17,231.02,239.49,231.0,233.42,3.87,86899.0,203826.86
2023-04-18,233.29,237.58,232.3,234.08,0.66,71956.0,168939.61
2023-04-19,233.9,234.5,229.66,232.09,-1.99,43932.0,101795.48
2023-04-20,232.16,233.49,226.2,229.5,-2.59,46939.0,107857.91
2023-04-21,229.5,232.65,228.12,229.12,-0.38,39534.0,91117.52
2023-04-24,228.0,228.5,220.01,221.75,-7.37,80911.0,180395.12
2023-04-25,221.75,225.88,218.94,225.52,3.77,78622.0,175366.62
2023-04-26,224.31,227.72,221.5,225.61,0.09,56962.0,127990.98
